word,Harry Potter and the Sorcerers Stone,Harry Potter and the Chamber of Secrets,total
hang,1,2,3
growing,1,2,3
goodness,1,2,3
gift,1,2,3
gentlemen,1,2,3
forgotten,2,1,3
foolish,2,1,3
five,1,2,3
fit,2,1,3
finished,2,1,3
filled,2,1,3
feast,1,2,3
fascinating,1,2,3
fancies,2,1,3
fame,2,1,3
empty,2,1,3
draught,1,2,3
ding,2,1,3
daughter,1,2,3
crying,2,1,3
creatures,1,2,3
counter,2,1,3
congratulations,1,2,3
confused,2,1,3
clothes,1,2,3
celebrity,1,2,3
causes,2,1,3
case,1,2,3
came,1,2,3
busy,2,1,3
bring,2,1,3
brilliant,1,2,3
breakfast,2,1,3
body,1,2,3
blimey,2,1,3
big,1,2,3
beasts,2,1,3
asleep,2,1,3
answer,1,2,3
angry,2,1,3
allowed,1,2,3
ahhh,2,1,3
absolutely,1,2,3
write,1,1,2
worse,1,1,2
worked,1,1,2
wonderful,1,1,2
witches,1,1,2
wise,1,1,2
whilst,1,1,2
wear,1,1,2
walls,1,1,2
underground,1,1,2
transfiguration,1,1,2
touch,1,1,2
tight,1,1,2
term,1,1,2
teammates,1,1,2
tea,1,1,2
spot,1,1,2
special,1,1,2
smiling,1,1,2
skills,1,1,2
sister,1,1,2
sight,1,1,2
sick,1,1,2
shock,1,1,2
shift,1,1,2
shed,1,1,2
serious,1,1,2
schedule,1,1,2
rubbish,1,1,2
rough,1,1,2
rotten,1,1,2
root,1,1,2
rock,1,1,2
reparo,1,1,2
relax,1,1,2
ravenclaws,1,1,2
ravenclaw,1,1,2
question,1,1,2
pumpkin,1,1,2
proven,1,1,2
prove,1,1,2
proud,1,1,2
properly,1,1,2
presume,1,1,2
possess,1,1,2
pocket,1,1,2
plenty,1,1,2
pleasure,1,1,2
playing,1,1,2
pets,1,1,2
paying,1,1,2
password,1,1,2
particularly,1,1,2
painful,1,1,2
oculus,1,1,2
notice,1,1,2
non,1,1,2
needs,1,1,2
names,1,1,2
movement,1,1,2
miserable,1,1,2
middle,1,1,2
met,1,1,2
meeting,1,1,2
managed,1,1,2
makes,1,1,2
ma,1,1,2
lies,1,1,2
lesson,1,1,2
learned,1,1,2
instant,1,1,2
information,1,1,2
hungry,1,1,2
hollow,1,1,2
hole,1,1,2
hit,1,1,2
history,1,1,2
hide,1,1,2
hearing,1,1,2
heading,1,1,2
harder,1,1,2
grow,1,1,2
greatness,1,1,2
goal,1,1,2
giant,1,1,2
forget,1,1,2
flame,1,1,2
firmly,1,1,2
fault,1,1,2
everybody,1,1,2
er,1,1,2
entire,1,1,2
ends,1,1,2
eleven,1,1,2
earlier,1,1,2
dormitory,1,1,2
directly,1,1,2
devil,1,1,2
desire,1,1,2
definitely,1,1,2
deep,1,1,2
damn,1,1,2
cousin,1,1,2
countryside,1,1,2
cool,1,1,2
concern,1,1,2
cold,1,1,2
codswallop,1,1,2
closed,1,1,2
carry,1,1,2
careful,1,1,2
care,1,1,2
building,1,1,2
believed,1,1,2
began,1,1,2
ashes,1,1,2
amazing,1,1,2
actually,1,1,2
according,1,1,2
abilities,1,1,2
im,27,0,27
troll,24,0,24
hooch,22,0,22
broom,22,0,22
thats,21,0,21
dont,21,0,21
youre,19,0,19
quirrell,17,0,17
notices,17,0,17
oliver,16,0,16
letter,16,0,16
suddenly,14,0,14
jumps,14,0,14
ball,14,0,14
whoa,13,0,13
walks,13,0,13
hes,13,0,13
harrys,13,0,13
walking,12,0,12
takes,12,0,12
grabs,12,0,12
appears,12,0,12
walk,11,0,11
nods,11,0,11
large,11,0,11
run,10,0,10
puts,10,0,10
pulls,10,0,10
glass,10,0,10
didnt,10,0,10
cant,10,0,10
whats,9,0,9
theres,9,0,9
sits,9,0,9
sees,9,0,9
owls,9,0,9
ground,9,0,9
begins,9,0,9
zooms,8,0,8
version,8,0,8
vault,8,0,8
stairs,8,0,8
runs,8,0,8
pans,8,0,8
ive,8,0,8
forward,8,0,8
cake,8,0,8
woman,7,0,7
trolls,7,0,7
street,7,0,7
starts,7,0,7
side,7,0,7
reveal,7,0,7
nose,7,0,7
flitwick,7,0,7
falls,7,0,7
disappears,7,0,7
crowd,7,0,7
amazed,7,0,7
youve,6,0,6
youll,6,0,6
whistle,6,0,6
theyre,6,0,6
smiles,6,0,6
rons,6,0,6
quaffle,6,0,6
opens,6,0,6
ollivander,6,0,6
lifts,6,0,6
lets,6,0,6
isnt,6,0,6
houses,6,0,6
gryffindors,6,0,6
grins,6,0,6
gringotts,6,0,6
goblin,6,0,6
gasps,6,0,6
feather,6,0,6
fat,6,0,6
closet,6,0,6
catches,6,0,6
afternoon,6,0,6
wont,5,0,5
waves,5,0,5
tall,5,0,5
stone,5,0,5
stares,5,0,5
shakes,5,0,5
scores,5,0,5
raises,5,0,5
quietly,5,0,5
normal,5,0,5
nevilles,5,0,5
meows,5,0,5
locked,5,0,5
leading,5,0,5
laughs,5,0,5
johnson,5,0,5
id,5,0,5
group,5,0,5
flashes,5,0,5
extended,5,0,5
dursleys,5,0,5
doorway,5,0,5
doors,5,0,5
dog,5,0,5
cup,5,0,5
blows,5,0,5
whos,4,0,4
umbrella,4,0,4
toad,4,0,4
ticket,4,0,4
store,4,0,4
stick,4,0,4
standing,4,0,4
snickers,4,0,4
small,4,0,4
slytherins,4,0,4
slowly,4,0,4
sky,4,0,4
shrugs,4,0,4
screaming,4,0,4
returns,4,0,4
players,4,0,4
picks,4,0,4
magically,4,0,4
lands,4,0,4
lady,4,0,4
knocked,4,0,4
keeper,4,0,4
join,4,0,4
including,4,0,4
hoops,4,0,4
hits,4,0,4
handle,4,0,4
gun,4,0,4
gulps,4,0,4
griphook,4,0,4
grab,4,0,4
glares,4,0,4
forehead,4,0,4
flick,4,0,4
finally,4,0,4
eating,4,0,4
dudleys,4,0,4
dragon,4,0,4
doesnt,4,0,4
desk,4,0,4
curious,4,0,4
cracks,4,0,4
continues,4,0,4
continue,4,0,4
cheering,4,0,4
cheer,4,0,4
brick,4,0,4
bat,4,0,4
approach,4,0,4
zoom,3,0,3
youd,3,0,3
wrist,3,0,3
white,3,0,3
wasnt,3,0,3
throat,3,0,3
tch,3,0,3
swish,3,0,3
swipes,3,0,3
sunday,3,0,3
stupid,3,0,3
string,3,0,3
stool,3,0,3
stands,3,0,3
stalls,3,0,3
sorted,3,0,3
soars,3,0,3
snapes,3,0,3
smacks,3,0,3
slightly,3,0,3
slams,3,0,3
silent,3,0,3
sighs,3,0,3
shut,3,0,3
shoulder,3,0,3
shoots,3,0,3
shadow,3,0,3
seemingly,3,0,3
screams,3,0,3
score,3,0,3
roof,3,0,3
rises,3,0,3
rips,3,0,3
remembrall,3,0,3
reads,3,0,3
reaches,3,0,3
raps,3,0,3
probably,3,0,3
possession,3,0,3
plaque,3,0,3
places,3,0,3
pass,3,0,3
painting,3,0,3
package,3,0,3
mouth,3,0,3
model,3,0,3
lightning,3,0,3
letterbox,3,0,3
leg,3,0,3
leaky,3,0,3
leads,3,0,3
keys,3,0,3
key,3,0,3
itll,3,0,3
important,3,0,3
holds,3,0,3
holding,3,0,3
heres,3,0,3
heads,3,0,3
happens,3,0,3
guarding,3,0,3
growls,3,0,3
golden,3,0,3
gold,3,0,3
goblins,3,0,3
glows,3,0,3
girls,3,0,3
gestures,3,0,3
fool,3,0,3
fireplace,3,0,3
feathers,3,0,3
enclosure,3,0,3
dungeon,3,0,3
drops,3,0,3
dirt,3,0,3
cut,3,0,3
crashing,3,0,3
crash,3,0,3
courtyard,3,0,3
corner,3,0,3
clever,3,0,3
clears,3,0,3
chocolate,3,0,3
causing,3,0,3
cart,3,0,3
candles,3,0,3
brooms,3,0,3
bowl,3,0,3
bolt,3,0,3
beaters,3,0,3
bank,3,0,3
backs,3,0,3
arent,3,0,3
zaps,2,0,2
yay,2,0,2
wrapped,2,0,2
wormwood,2,0,2
win,2,0,2
whooa,2,0,2
whips,2,0,2
whacks,2,0,2
wavers,2,0,2
watches,2,0,2
wanting,2,0,2
visibly,2,0,2
vanished,2,0,2
upwards,2,0,2
upset,2,0,2
uniform,2,0,2
transitioning,2,0,2
thumps,2,0,2
theyve,2,0,2
teams,2,0,2
taps,2,0,2
tape,2,0,2
tables,2,0,2
tabby,2,0,2
sweets,2,0,2
supposed,2,0,2
strictly,2,0,2
streets,2,0,2
steps,2,0,2
statue,2,0,2
standard,2,0,2
stall,2,0,2
spear,2,0,2
spark,2,0,2
sofa,2,0,2
smoke,2,0,2
smeltings,2,0,2
smashes,2,0,2
shriek,2,0,2
shoves,2,0,2
shooting,2,0,2
shiny,2,0,2
seats,2,0,2
screen,2,0,2
screeches,2,0,2
scatter,2,0,2
rushing,2,0,2
rushes,2,0,2
rum,2,0,2
rubeus,2,0,2
rising,2,0,2
riding,2,0,2
revealed,2,0,2
repeatedly,2,0,2
relief,2,0,2
reach,2,0,2
rd,2,0,2
rat,2,0,2
railing,2,0,2
rabbit,2,0,2
quirrells,2,0,2
pushes,2,0,2
pouring,2,0,2
potters,2,0,2
positions,2,0,2
pops,2,0,2
pointing,2,0,2
pleased,2,0,2
perfect,2,0,2
perched,2,0,2
passes,2,0,2
parcels,2,0,2
paper,2,0,2
ow,2,0,2
ought,2,0,2
ollivanders,2,0,2
numerous,2,0,2
number,2,0,2
noticing,2,0,2
nighttime,2,0,2
ms,2,0,2
moves,2,0,2
mountain,2,0,2
mount,2,0,2
monkshood,2,0,2
money,2,0,2
misunderstood,2,0,2
mistake,2,0,2
millions,2,0,2
lurches,2,0,2
lovely,2,0,2
lock,2,0,2
limping,2,0,2
lily,2,0,2
lighting,2,0,2
lifted,2,0,2
leviosar,2,0,2
leans,2,0,2
knocks,2,0,2
knocking,2,0,2
kick,2,0,2
jump,2,0,2
joy,2,0,2
jinxing,2,0,2
insulted,2,0,2
ink,2,0,2
iguana,2,0,2
hum,2,0,2
huge,2,0,2
hovers,2,0,2
hermiones,2,0,2
hed,2,0,2
havent,2,0,2
hasnt,2,0,2
harp,2,0,2
hard,2,0,2
haired,2,0,2
hah,2,0,2
hadnt,2,0,2
grin,2,0,2
grey,2,0,2
green,2,0,2
goons,2,0,2
frog,2,0,2
freaks,2,0,2
forth,2,0,2
forbidden,2,0,2
follows,2,0,2
followed,2,0,2
floating,2,0,2
flavour,2,0,2
fires,2,0,2
filchs,2,0,2
eyebrows,2,0,2
express,2,0,2
explosion,2,0,2
explain,2,0,2
expected,2,0,2
exit,2,0,2
exhibit,2,0,2
ew,2,0,2
evil,2,0,2
essential,2,0,2
enunciate,2,0,2
enters,2,0,2
enter,2,0,2
emerges,2,0,2
embarrassed,2,0,2
eerie,2,0,2
dumbledores,2,0,2
dressed,2,0,2
draws,2,0,2
drawn,2,0,2
dracos,2,0,2
double,2,0,2
dives,2,0,2
direction,2,0,2
crowded,2,0,2
concerned,2,0,2
compartment,2,0,2
coming,2,0,2
coins,2,0,2
coffee,2,0,2
climbs,2,0,2
classmates,2,0,2
cheek,2,0,2
checks,2,0,2
chasers,2,0,2
charred,2,0,2
ceiling,2,0,2
carrying,2,0,2
card,2,0,2
bundles,2,0,2
bunch,2,0,2
bucking,2,0,2
brown,2,0,2
brother,2,0,2
broke,2,0,2
bridge,2,0,2
breath,2,0,2
boxes,2,0,2
bout,2,0,2
borrow,2,0,2
boats,2,0,2
bludgers,2,0,2
blown,2,0,2
blocks,2,0,2
blasted,2,0,2
black,2,0,2
bits,2,0,2
binoculars,2,0,2
bezoar,2,0,2
bends,2,0,2
beard,2,0,2
bats,2,0,2
baron,2,0,2
bangs,2,0,2
bacon,2,0,2
awe,2,0,2
awarded,2,0,2
asphodel,2,0,2
approaches,2,0,2
appear,2,0,2
amount,2,0,2
amazement,2,0,2
alohomora,2,0,2
aisle,2,0,2
aiming,2,0,2
ahead,2,0,2
agreement,2,0,2
aerial,2,0,2
adds,2,0,2
address,2,0,2
zips,1,0,1
yourselfs,1,0,1
youngest,1,0,1
yelp,1,0,1
yawns,1,0,1
wriggling,1,0,1
wretch,1,0,1
wouldnt,1,0,1
worth,1,0,1
woods,1,0,1
wondered,1,0,1
wolfsbane,1,0,1
wolfbane,1,0,1
woke,1,0,1
withdrawal,1,0,1
wishing,1,0,1
wishes,1,0,1
wiping,1,0,1
wipes,1,0,1
wings,1,0,1
wingardrium,1,0,1
wingard,1,0,1
winery,1,0,1
windowsill,1,0,1
windows,1,0,1
winces,1,0,1
whooaaa,1,0,1
whod,1,0,1
whoaa,1,0,1
whizzing,1,0,1
whispers,1,0,1
whirring,1,0,1
whimpers,1,0,1
whew,1,0,1
wheres,1,0,1
whelk,1,0,1
whatre,1,0,1
whacked,1,0,1
weve,1,0,1
wed,1,0,1
weaves,1,0,1
weak,1,0,1
waving,1,0,1
wave,1,0,1
watching,1,0,1
walnut,1,0,1
wakes,1,0,1
waistcoat,1,0,1
wager,1,0,1
voldemorts,1,0,1
vo,1,0,1
versus,1,0,1
vernons,1,0,1
vent,1,0,1
vaults,1,0,1
vase,1,0,1
vanishing,1,0,1
vanishes,1,0,1
vanish,1,0,1
vampire,1,0,1
utter,1,0,1
usual,1,0,1
upside,1,0,1
unwrapping,1,0,1
unpleasantly,1,0,1
unlocks,1,0,1
unknown,1,0,1
underneath,1,0,1
uncontrollably,1,0,1
uncontrolably,1,0,1
unconscious,1,0,1
tyke,1,0,1
twirls,1,0,1
twirling,1,0,1
twin,1,0,1
tv,1,0,1
turning,1,0,1
turned,1,0,1
turban,1,0,1
tumbling,1,0,1
tube,1,0,1
tubby,1,0,1
trousers,1,0,1
trophy,1,0,1
troolll,1,0,1
triumphs,1,0,1
tripe,1,0,1
trio,1,0,1
tries,1,0,1
tricks,1,0,1
trevor,1,0,1
travelling,1,0,1
trapped,1,0,1
trap,1,0,1
transforms,1,0,1
transfigure,1,0,1
trains,1,0,1
towers,1,0,1
touching,1,0,1
touches,1,0,1
tossing,1,0,1
tosses,1,0,1
torn,1,0,1
torch,1,0,1
topples,1,0,1
todays,1,0,1
toast,1,0,1
title,1,0,1
tired,1,0,1
tiny,1,0,1
thw,1,0,1
thunks,1,0,1
thunder,1,0,1
thumping,1,0,1
thugs,1,0,1
thrown,1,0,1
throwing,1,0,1
threateningly,1,0,1
thread,1,0,1
thousands,1,0,1
thoughtful,1,0,1
thirst,1,0,1
theyll,1,0,1
terrorize,1,0,1
tenses,1,0,1
teaching,1,0,1
tattered,1,0,1
taste,1,0,1
talked,1,0,1
tale,1,0,1
taint,1,0,1
sync,1,0,1
swore,1,0,1
swooping,1,0,1
switching,1,0,1
swishing,1,0,1
swishes,1,0,1
sweet,1,0,1
sweared,1,0,1
suspicously,1,0,1
susan,1,0,1
surprisingly,1,0,1
supports,1,0,1
support,1,0,1
supplies,1,0,1
sunshine,1,0,1
sun,1,0,1
sullenly,1,0,1
succeeds,1,0,1
subtle,1,0,1
subject,1,0,1
stumped,1,0,1
stuffs,1,0,1
structures,1,0,1
structure,1,0,1
stroking,1,0,1
strength,1,0,1
strategize,1,0,1
straightens,1,0,1
stopping,1,0,1
stopper,1,0,1
stood,1,0,1
sticks,1,0,1
stepping,1,0,1
steaming,1,0,1
steady,1,0,1
stature,1,0,1
startling,1,0,1
starting,1,0,1
started,1,0,1
squirming,1,0,1
squeeze,1,0,1
squeaks,1,0,1
sputtering,1,0,1
spots,1,0,1
splendid,1,0,1
spinach,1,0,1
speeding,1,0,1
spectacles,1,0,1
speaks,1,0,1
sparks,1,0,1
source,1,0,1
soup,1,0,1
soul,1,0,1
sooner,1,0,1
son,1,0,1
someones,1,0,1
softly,1,0,1
softens,1,0,1
soaring,1,0,1
soar,1,0,1
snowy,1,0,1
snorts,1,0,1
sniffs,1,0,1
sniffling,1,0,1
sniffles,1,0,1
snicker,1,0,1
snarls,1,0,1
smugly,1,0,1
smoldering,1,0,1
smirks,1,0,1
smirk,1,0,1
smeltona,1,0,1
smashing,1,0,1
smash,1,0,1
smartest,1,0,1
slivers,1,0,1
slip,1,0,1
sliding,1,0,1
slides,1,0,1
sleeps,1,0,1
skyrockets,1,0,1
skin,1,0,1
skids,1,0,1
sized,1,0,1
size,1,0,1
sinister,1,0,1
single,1,0,1
silvery,1,0,1
sillllleeennnnceeeee,1,0,1
signals,1,0,1
sighing,1,0,1
sides,1,0,1
shy,1,0,1
shutting,1,0,1
shuts,1,0,1
shudders,1,0,1
shrieks,1,0,1
shouldnt,1,0,1
shot,1,0,1
shops,1,0,1
shoot,1,0,1
shoo,1,0,1
shirt,1,0,1
shining,1,0,1
shes,1,0,1
shelves,1,0,1
sheer,1,0,1
shatters,1,0,1
sharp,1,0,1
shaped,1,0,1
seventh,1,0,1
sets,1,0,1
serving,1,0,1
separate,1,0,1
sentinel,1,0,1
senses,1,0,1
select,1,0,1
seekers,1,0,1
season,1,0,1
seal,1,0,1
sea,1,0,1
screeching,1,0,1
scratches,1,0,1
scoops,1,0,1
scoffs,1,0,1
science,1,0,1
scars,1,0,1
scandal,1,0,1
saving,1,0,1
saunters,1,0,1
sat,1,0,1
sandwiches,1,0,1
sailing,1,0,1
safer,1,0,1
saaa,1,0,1
sa,1,0,1
rush,1,0,1
rumours,1,0,1
rumbling,1,0,1
rule,1,0,1
rudimentary,1,0,1
rows,1,0,1
rolls,1,0,1
robe,1,0,1
roar,1,0,1
reveals,1,0,1
restrains,1,0,1
resides,1,0,1
residents,1,0,1
require,1,0,1
request,1,0,1
reptile,1,0,1
repairing,1,0,1
remind,1,0,1
remembered,1,0,1
remaining,1,0,1
releases,1,0,1
released,1,0,1
refuses,1,0,1
redhead,1,0,1
recovered,1,0,1
recognizing,1,0,1
reckon,1,0,1
receives,1,0,1
